Casper,CSPR,https://coinmarketcap.com/currencies/casper/,0.05
Curve DAO Token,CRV,https://coinmarketcap.com/currencies/curve-dao-token/,0.94
Kava,KAVA,https://coinmarketcap.com/currencies/kava/,1.61
GateToken,GT,https://coinmarketcap.com/currencies/gatetoken/,4.48
Trust Wallet Token,TWT,https://coinmarketcap.com/currencies/trust-wallet-token/,1.16
Dash,DASH,https://coinmarketcap.com/currencies/dash/,42.27
Enjin Coin,ENJ,https://coinmarketcap.com/currencies/enjin-coin/,0.44
Basic Attention Token,BAT,https://coinmarketcap.com/currencies/basic-attention-token/,0.29
Stacks,STX,https://coinmarketcap.com/currencies/stacks/,0.32
Fei USD,FEI,https://coinmarketcap.com/currencies/fei-usd/,0.99
Mina,MINA,https://coinmarketcap.com/currencies/mina/,0.57
Zilliqa,ZIL,https://coinmarketcap.com/currencies/zilliqa/,0.03
Decred,DCR,https://coinmarketcap.com/currencies/decred/,27.65
Convex Finance,CVX,https://coinmarketcap.com/currencies/convex-finance/,5.70
XDC Network,XDC,https://coinmarketcap.com/currencies/xinfin/,0.03
Compound,COMP,https://coinmarketcap.com/currencies/compound/,52.54
TerraClassicUSD,USTC,https://coinmarketcap.com/currencies/terrausd/,0.04
1inch Network,1INCH,https://coinmarketcap.com/currencies/1inch/,0.60
Ravencoin,RVN,https://coinmarketcap.com/currencies/ravencoin/,0.03
Ethereum Name Service,ENS,https://coinmarketcap.com/currencies/ethereum-name-service/,18.14
Waves,WAVES,https://coinmarketcap.com/currencies/waves/,3.30
Arweave,AR,https://coinmarketcap.com/currencies/arweave/,10.82
NEM,XEM,https://coinmarketcap.com/currencies/nem/,0.04
Loopring,LRC,https://coinmarketcap.com/currencies/loopring/,0.26
Bitcoin,BTC,https://coinmarketcap.com/currencies/bitcoin/,20601.47
Ethereum,ETH,https://coinmarketcap.com/currencies/ethereum/,1528.73
Tether,USDT,https://coinmarketcap.com/currencies/tether/,1.00
BNB,BNB,https://coinmarketcap.com/currencies/bnb/,289.06
USD Coin,USDC,https://coinmarketcap.com/currencies/usd-coin/,1.00
XRP,XRP,https://coinmarketcap.com/currencies/xrp/,0.4649
Binance USD,BUSD,https://coinmarketcap.com/currencies/binance-usd/,1.00
Cardano,ADA,https://coinmarketcap.com/currencies/cardano/,0.4055
Solana,SOL,https://coinmarketcap.com/currencies/solana/,31.32
Dogecoin,DOGE,https://coinmarketcap.com/currencies/dogecoin/,0.06781
Polygon,MATIC,https://coinmarketcap.com/currencies/polygon/,0.95
Polkadot,DOT,https://coinmarketcap.com/currencies/polkadot-new/,6.53
Dai,DAI,https://coinmarketcap.com/currencies/multi-collateral-dai/,1.00
TRON,TRX,https://coinmarketcap.com/currencies/tron/,0.06
Shiba Inu,SHIB,https://coinmarketcap.com/currencies/shiba-inu/,0.00
Uniswap,UNI,https://coinmarketcap.com/currencies/uniswap/,6.70
Avalanche,AVAX,https://coinmarketcap.com/currencies/avalanche/,17.09
Wrapped Bitcoin,WBTC,https://coinmarketcap.com/currencies/wrapped-bitcoin/,20610.15
Litecoin,LTC,https://coinmarketcap.com/currencies/litecoin/,57.16
UNUS SED LEO,LEO,https://coinmarketcap.com/currencies/unus-sed-leo/,4.20
Cosmos,ATOM,https://coinmarketcap.com/currencies/cosmos/,12.34
Chainlink,LINK,https://coinmarketcap.com/currencies/chainlink/,7.17
Ethereum Classic,ETC,https://coinmarketcap.com/currencies/ethereum-classic/,25.16
FTX Token,FTT,https://coinmarketcap.com/currencies/ftx-token/,24.53
Stellar,XLM,https://coinmarketcap.com/currencies/stellar/,0.11
Cronos,CRO,https://coinmarketcap.com/currencies/cronos/,0.11
Monero,XMR,https://coinmarketcap.com/currencies/monero/,145.76
NEAR Protocol,NEAR,https://coinmarketcap.com/currencies/near-protocol/,3.06
Algorand,ALGO,https://coinmarketcap.com/currencies/algorand/,0.34
Bitcoin Cash,BCH,https://coinmarketcap.com/currencies/bitcoin-cash/,115.42
Toncoin,TON,https://coinmarketcap.com/currencies/toncoin/,1.81
Quant,QNT,https://coinmarketcap.com/currencies/quant/,176.30
Flow,FLOW,https://coinmarketcap.com/currencies/flow/,1.69
VeChain,VET,https://coinmarketcap.com/currencies/vechain/,0.02
Terra Classic,LUNC,https://coinmarketcap.com/currencies/terra-luna/,0.00
Filecoin,FIL,https://coinmarketcap.com/currencies/filecoin/,5.26
ApeCoin,APE,https://coinmarketcap.com/currencies/apecoin-ape/,4.74
Hedera,HBAR,https://coinmarketcap.com/currencies/hedera/,0.06
Huobi Token,HT,https://coinmarketcap.com/currencies/huobi-token/,9.02
Internet Computer,ICP,https://coinmarketcap.com/currencies/internet-computer/,5.13
Elrond,EGLD,https://coinmarketcap.com/currencies/elrond-egld/,57.79
Tezos,XTZ,https://coinmarketcap.com/currencies/tezos/,1.43
Chain,XCN,https://coinmarketcap.com/currencies/chain/,0.06
Chiliz,CHZ,https://coinmarketcap.com/currencies/chiliz/,0.20
